trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.22875280780845939}",20,1,-32.811308597499135,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.20923866589141926}",25,5,-6.900181606772388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.18964083129783424}",35,17,21.488758000722676,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,3,28.852999293242473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,9,15.572418190329001,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.13042370873814554}",25,3,13.173528902402388,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.11056977982006957}",20,6,7.835841368242605,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.09067162446430967}",20,7,25.873108954203094,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,22,11.77763170229157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.05077448493357918}",30,13,6.721977324115073,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.030791459082466124}",25,16,16.48264240074391,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,19.286068976523453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,21.779131413186214,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,9,36.98527316419346,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,11,15.561474570837444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,5,40.877242474377915,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,26.637000026488987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,8,38.924427871550975,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,2,42.6330731910711,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,36.69108025685411,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,21,18.45992357128677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
